frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"123","Mar 27, 2025 11:29:49.357304000 India Standard Time","35.174.127.31","172.16.44.224","443","51935",,,,,
"124","Mar 27, 2025 11:29:49.444723000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"125","Mar 27, 2025 11:29:49.471065000 India Standard Time","20.195.84.16","172.16.44.224","443","51539",,,,,
"126","Mar 27, 2025 11:29:49.490013000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"127","Mar 27, 2025 11:29:49.521311000 India Standard Time","172.16.44.224","20.195.84.16","51539","443",,,,,
"128","Mar 27, 2025 11:29:49.679467000 India Standard Time","35.174.127.31","172.16.44.224","443","51935",,,,,
"129","Mar 27, 2025 11:29:49.722995000 India Standard Time","172.16.44.224","35.174.127.31","51935","443",,,,,
"130","Mar 27, 2025 11:29:49.818096000 India Standard Time","57.144.157.32","172.16.44.224","443","52332",,,,,
"131","Mar 27, 2025 11:29:49.818096000 India Standard Time","57.144.157.32","172.16.44.224","443","52332",,,,,
"132","Mar 27, 2025 11:29:49.818147000 India Standard Time","172.16.44.224","57.144.157.32","52332","443",,,,,
"133","Mar 27, 2025 11:29:49.818227000 India Standard Time","172.16.44.224","57.144.157.32","52332","443",,,,,
"134","Mar 27, 2025 11:29:49.818327000 India Standard Time","172.16.44.224","57.144.157.32","52332","443",,,,,
"135","Mar 27, 2025 11:29:49.839156000 India Standard Time","57.144.157.32","172.16.44.224","443","52332",,,,,
"136","Mar 27, 2025 11:29:49.865296000 India Standard Time","172.16.44.224","20.195.84.16","51539","443",,,,,
"137","Mar 27, 2025 11:29:49.907577000 India Standard Time","20.195.84.16","172.16.44.224","443","51539",,,,,
"138","Mar 27, 2025 11:29:49.933933000 India Standard Time",,,,,,,,,
"139","Mar 27, 2025 11:29:50.028973000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"140","Mar 27, 2025 11:29:50.083006000 India Standard Time","172.16.44.224","20.195.84.23","51491","443",,,,,
"141","Mar 27, 2025 11:29:50.696976000 India Standard Time","163.70.143.60","172.16.44.224","443","52333",,,,,
"142","Mar 27, 2025 11:29:50.696976000 India Standard Time","163.70.143.60","172.16.44.224","443","52333",,,,,
"143","Mar 27, 2025 11:29:50.697009000 India Standard Time","172.16.44.224","163.70.143.60","52333","443",,,,,
"144","Mar 27, 2025 11:29:50.697057000 India Standard Time","172.16.44.224","163.70.143.60","52333","443",,,,,
"145","Mar 27, 2025 11:29:50.697227000 India Standard Time","172.16.44.224","163.70.143.60","52333","443",,,,,
"146","Mar 27, 2025 11:29:50.711965000 India Standard Time","163.70.143.60","172.16.44.224","443","52333",,,,,
"147","Mar 27, 2025 11:29:51.367371000 India Standard Time",,,,,,,,,
"148","Mar 27, 2025 11:29:51.782021000 India Standard Time",,,,,,,,,
"149","Mar 27, 2025 11:29:52.602702000 India Standard Time",,,,,,,,,
"150","Mar 27, 2025 11:29:53.800674000 India Standard Time","172.16.44.224","20.195.84.16","51539","443",,,,,
